title,title_bn,company,company_bn,type,description,description_bn,district,division,salary_min,salary_max,deadline,is_remote,status
Software Engineer 1,সফটওয়্যার ইঞ্জিনিয়ার,Tech Solutions,টেক সলিউশনস,full-time,We are hiring skilled candidates for this position. Apply now.,আমরা এই পদের জন্য দক্ষ প্রার্থী নিয়োগ করছি। এখনই আবেদন করুন।,Dhaka,Dhaka,15000,30000,2025-01-28,1,active
Data Entry Operator 2,ডাটা এন্ট্রি অপারেটর,ABC Corp,এবিসি কর্প,part-time,We are hiring skilled candidates for this position. Apply now.,আমরা এই পদের জন্য দক্ষ প্রার্থী নিয়োগ করছি। এখনই আবেদন করুন।,Coxs Bazar,Chittagong,20000,40000,2025-02-28,0,active
Accountant 3,হিসাবরক্ষক,Green IT,গ্রিন আইটি,freelance,We are hiring skilled candidates for this position. Apply now.,আমরা এই পদের জন্য দক্ষ প্রার্থী নিয়োগ করছি। এখনই আবেদন করুন।,Pabna,Rajshahi,25000,50000,2025-03-28,0,active
Sales Executive 4,সেলস এক্সিকিউটিভ,BD Softwares,বিডি সফটওয়্যারস,internship,We are hiring skilled candidates for this position. Apply now.,আমরা এই পদের জন্য দক্ষ প্রার্থী নিয়োগ করছি। এখনই আবেদন করুন।,Kushtia,Khulna,30000,60000,2025-04-28,1,active
Graphic Designer 5,গ্রাফিক ডিজাইনার,Prime Ltd,প্রাইম লিমিটেড,govt,We are hiring skilled candidates for this position. Apply now.,আমরা এই পদের জন্য দক্ষ প্রার্থী নিয়োগ করছি। এখনই আবেদন করুন।,Sylhet Sadar,Sylhet,35000,70000,2025-05-28,0,active
Marketing Officer 6,মার্কেটিং অফিসার,Star Group,স্টার গ্রুপ,full-time,We are hiring skilled candidates for this position. Apply now.,আমরা এই পদের জন্য দক্ষ প্রার্থী নিয়োগ করছি। এখনই আবেদন করুন।,Barisal,Barisal,15000,30000,2025-06-28,0,active
Software Engineer 7,সফটওয়্যার ইঞ্জিনিয়ার,Tech Solutions,টেক সলিউশনস,part-time,We are hiring skilled candidates for this position. Apply now.,আমরা এই পদের জন্য দক্ষ প্রার্থী নিয়োগ করছি। এখনই আবেদন করুন।,Dinajpur,Rangpur,20000,40000,2025-07-28,1,active
Data Entry Operator 8,ডাটা এন্ট্রি অপারেটর,ABC Corp,এবিসি কর্প,freelance,We are hiring skilled candidates for this position. Apply now.,আমরা এই পদের জন্য দক্ষ প্রার্থী নিয়োগ করছি। এখনই আবেদন করুন।,Netrokona,Mymensingh,25000,50000,2025-08-28,0,active
Accountant 9,হিসাবরক্ষক,Green IT,গ্রিন আইটি,internship,We are hiring skilled candidates for this position. Apply now.,আমরা এই পদের জন্য দক্ষ প্রার্থী নিয়োগ করছি। এখনই আবেদন করুন।,Tangail,Dhaka,30000,60000,2025-09-28,0,active
Sales Executive 10,সেলস এক্সিকিউটিভ,BD Softwares,বিডি সফটওয়্যারস,govt,We are hiring skilled candidates for this position. Apply now.,আমরা এই পদের জন্য দক্ষ প্রার্থী নিয়োগ করছি। এখনই আবেদন করুন।,Rangamati,Chittagong,35000,70000,2025-10-28,1,active
Graphic Designer 11,গ্রাফিক ডিজাইনার,Prime Ltd,প্রাইম লিমিটেড,full-time,We are hiring skilled candidates for this position. Apply now.,আমরা এই পদের জন্য দক্ষ প্রার্থী নিয়োগ করছি। এখনই আবেদন করুন।,Rajshahi,Rajshahi,15000,30000,2025-11-28,0,active
Marketing Officer 12,মার্কেটিং অফিসার,Star Group,স্টার গ্রুপ,part-time,We are hiring skilled candidates for this position. Apply now.,আমরা এই পদের জন্য দক্ষ প্রার্থী নিয়োগ করছি। এখনই আবেদন করুন।,Jessore,Khulna,20000,40000,2025-12-28,0,active
Software Engineer 13,সফটওয়্যার ইঞ্জিনিয়ার,Tech Solutions,টেক সলিউশনস,freelance,We are hiring skilled candidates for this position. Apply now.,আমরা এই পদের জন্য দক্ষ প্রার্থী নিয়োগ করছি। এখনই আবেদন করুন।,Habiganj,Sylhet,25000,50000,2025-01-28,1,active
Data Entry Operator 14,ডাটা এন্ট্রি অপারেটর,ABC Corp,এবিসি কর্প,internship,We are hiring skilled candidates for this position. Apply now.,আমরা এই পদের জন্য দক্ষ প্রার্থী নিয়োগ করছি। এখনই আবেদন করুন।,Pirojpur,Barisal,30000,60000,2025-02-28,0,active
Accountant 15,হিসাবরক্ষক,Green IT,গ্রিন আইটি,govt,We are hiring skilled candidates for this position. Apply now.,আমরা এই পদের জন্য দক্ষ প্রার্থী নিয়োগ করছি। এখনই আবেদন করুন।,Nilphamari,Rangpur,35000,70000,2025-03-28,0,active
Sales Executive 16,সেলস এক্সিকিউটিভ,BD Softwares,বিডি সফটওয়্যারস,full-time,We are hiring skilled candidates for this position. Apply now.,আমরা এই পদের জন্য দক্ষ প্রার্থী নিয়োগ করছি। এখনই আবেদন করুন।,Mymensingh,Mymensingh,15000,30000,2025-04-28,1,active
Graphic Designer 17,গ্রাফিক ডিজাইনার,Prime Ltd,প্রাইম লিমিটেড,part-time,We are hiring skilled candidates for this position. Apply now.,আমরা এই পদের জন্য দক্ষ প্রার্থী নিয়োগ করছি। এখনই আবেদন করুন।,Gazipur,Dhaka,20000,40000,2025-05-28,0,active
Marketing Officer 18,মার্কেটিং অফিসার,Star Group,স্টার গ্রুপ,freelance,We are hiring skilled candidates for this position. Apply now.,আমরা এই পদের জন্য দক্ষ প্রার্থী নিয়োগ করছি। এখনই আবেদন করুন।,Comilla,Chittagong,25000,50000,2025-06-28,0,active
Software Engineer 19,সফটওয়্যার ইঞ্জিনিয়ার,Tech Solutions,টেক সলিউশনস,internship,We are hiring skilled candidates for this position. Apply now.,আমরা এই পদের জন্য দক্ষ প্রার্থী নিয়োগ করছি। এখনই আবেদন করুন।,Natore,Rajshahi,30000,60000,2025-07-28,1,active
Data Entry Operator 20,ডাটা এন্ট্রি অপারেটর,ABC Corp,এবিসি কর্প,govt,We are hiring skilled candidates for this position. Apply now.,আমরা এই পদের জন্য দক্ষ প্রার্থী নিয়োগ করছি। এখনই আবেদন করুন।,Bagerhat,Khulna,35000,70000,2025-08-28,0,active
Accountant 21,হিসাবরক্ষক,Green IT,গ্রিন আইটি,full-time,We are hiring skilled candidates for this position. Apply now.,আমরা এই পদের জন্য দক্ষ প্রার্থী নিয়োগ করছি। এখনই আবেদন করুন।,Sylhet,Sylhet,15000,30000,2025-09-28,0,active
Sales Executive 22,সেলস এক্সিকিউটিভ,BD Softwares,বিডি সফটওয়্যারস,part-time,We are hiring skilled candidates for this position. Apply now.,আমরা এই পদের জন্য দক্ষ প্রার্থী নিয়োগ করছি। এখনই আবেদন করুন।,Bhola,Barisal,20000,40000,2025-10-28,1,active
Graphic Designer 23,গ্রাফিক ডিজাইনার,Prime Ltd,প্রাইম লিমিটেড,freelance,We are hiring skilled candidates for this position. Apply now.,আমরা এই পদের জন্য দক্ষ প্রার্থী নিয়োগ করছি। এখনই আবেদন করুন।,Kurigram,Rangpur,25000,50000,2025-11-28,0,active
Marketing Officer 24,মার্কেটিং অফিসার,Star Group,স্টার গ্রুপ,internship,We are hiring skilled candidates for this position. Apply now.,আমরা এই পদের জন্য দক্ষ প্রার্থী নিয়োগ করছি। এখনই আবেদন করুন।,Sherpur,Mymensingh,30000,60000,2025-12-28,0,active
Software Engineer 25,সফটওয়্যার ইঞ্জিনিয়ার,Tech Solutions,টেক সলিউশনস,govt,We are hiring skilled candidates for this position. Apply now.,আমরা এই পদের জন্য দক্ষ প্রার্থী নিয়োগ করছি। এখনই আবেদন করুন।,Manikganj,Dhaka,35000,70000,2025-01-28,1,active
Data Entry Operator 26,ডাটা এন্ট্রি অপারেটর,ABC Corp,এবিসি কর্প,full-time,We are hiring skilled candidates for this position. Apply now.,আমরা এই পদের জন্য দক্ষ প্রার্থী নিয়োগ করছি। এখনই আবেদন করুন।,Chittagong,Chittagong,15000,30000,2025-02-28,0,active
Accountant 27,হিসাবরক্ষক,Green IT,গ্রিন আইটি,part-time,We are hiring skilled candidates for this position. Apply now.,আমরা এই পদের জন্য দক্ষ প্রার্থী নিয়োগ করছি। এখনই আবেদন করুন।,Bogura,Rajshahi,20000,40000,2025-03-28,0,active
Sales Executive 28,সেলস এক্সিকিউটিভ,BD Softwares,বিডি সফটওয়্যারস,freelance,We are hiring skilled candidates for this position. Apply now.,আমরা এই পদের জন্য দক্ষ প্রার্থী নিয়োগ করছি। এখনই আবেদন করুন।,Satkhira,Khulna,25000,50000,2025-04-28,1,active
Graphic Designer 29,গ্রাফিক ডিজাইনার,Prime Ltd,প্রাইম লিমিটেড,internship,We are hiring skilled candidates for this position. Apply now.,আমরা এই পদের জন্য দক্ষ প্রার্থী নিয়োগ করছি। এখনই আবেদন করুন।,Sunamganj,Sylhet,30000,60000,2025-05-28,0,active
Marketing Officer 30,মার্কেটিং অফিসার,Star Group,স্টার গ্রুপ,govt,We are hiring skilled candidates for this position. Apply now.,আমরা এই পদের জন্য দক্ষ প্রার্থী নিয়োগ করছি। এখনই আবেদন করুন।,Jhalokati,Barisal,35000,70000,2025-06-28,0,active
Software Engineer 31,সফটওয়্যার ইঞ্জিনিয়ার,Tech Solutions,টেক সলিউশনস,full-time,We are hiring skilled candidates for this position. Apply now.,আমরা এই পদের জন্য দক্ষ প্রার্থী নিয়োগ করছি। এখনই আবেদন করুন।,Rangpur,Rangpur,15000,30000,2025-07-28,1,active
Data Entry Operator 32,ডাটা এন্ট্রি অপারেটর,ABC Corp,এবিসি কর্প,part-time,We are hiring skilled candidates for this position. Apply now.,আমরা এই পদের জন্য দক্ষ প্রার্থী নিয়োগ করছি। এখনই আবেদন করুন।,Jamalpur,Mymensingh,20000,40000,2025-08-28,0,active
Accountant 33,হিসাবরক্ষক,Green IT,গ্রিন আইটি,freelance,We are hiring skilled candidates for this position. Apply now.,আমরা এই পদের জন্য দক্ষ প্রার্থী নিয়োগ করছি। এখনই আবেদন করুন।,Narayanganj,Dhaka,25000,50000,2025-09-28,0,active
Sales Executive 34,সেলস এক্সিকিউটিভ,BD Softwares,বিডি সফটওয়্যারস,internship,We are hiring skilled candidates for this position. Apply now.,আমরা এই পদের জন্য দক্ষ প্রার্থী নিয়োগ করছি। এখনই আবেদন করুন।,Feni,Chittagong,30000,60000,2025-10-28,1,active
Graphic Designer 35,গ্রাফিক ডিজাইনার,Prime Ltd,প্রাইম লিমিটেড,govt,We are hiring skilled candidates for this position. Apply now.,আমরা এই পদের জন্য দক্ষ প্রার্থী নিয়োগ করছি। এখনই আবেদন করুন।,Naogaon,Rajshahi,35000,70000,2025-11-28,0,active
Marketing Officer 36,মার্কেটিং অফিসার,Star Group,স্টার গ্রুপ,full-time,We are hiring skilled candidates for this position. Apply now.,আমরা এই পদের জন্য দক্ষ প্রার্থী নিয়োগ করছি। এখনই আবেদন করুন।,Khulna,Khulna,15000,30000,2025-12-28,0,active
Software Engineer 37,সফটওয়্যার ইঞ্জিনিয়ার,Tech Solutions,টেক সলিউশনস,part-time,We are hiring skilled candidates for this position. Apply now.,আমরা এই পদের জন্য দক্ষ প্রার্থী নিয়োগ করছি। এখনই আবেদন করুন।,Moulvibazar,Sylhet,20000,40000,2025-01-28,1,active
Data Entry Operator 38,ডাটা এন্ট্রি অপারেটর,ABC Corp,এবিসি কর্প,freelance,We are hiring skilled candidates for this position. Apply now.,আমরা এই পদের জন্য দক্ষ প্রার্থী নিয়োগ করছি। এখনই আবেদন করুন।,Patuakhali,Barisal,25000,50000,2025-02-28,0,active
Accountant 39,হিসাবরক্ষক,Green IT,গ্রিন আইটি,internship,We are hiring skilled candidates for this position. Apply now.,আমরা এই পদের জন্য দক্ষ প্রার্থী নিয়োগ করছি। এখনই আবেদন করুন।,Gaibandha,Rangpur,30000,60000,2025-03-28,0,active
Sales Executive 40,সেলস এক্সিকিউটিভ,BD Softwares,বিডি সফটওয়্যারস,govt,We are hiring skilled candidates for this position. Apply now.,আমরা এই পদের জন্য দক্ষ প্রার্থী নিয়োগ করছি। এখনই আবেদন করুন।,Trishal,Mymensingh,35000,70000,2025-04-28,1,active
Graphic Designer 41,গ্রাফিক ডিজাইনার,Prime Ltd,প্রাইম লিমিটেড,full-time,We are hiring skilled candidates for this position. Apply now.,আমরা এই পদের জন্য দক্ষ প্রার্থী নিয়োগ করছি। এখনই আবেদন করুন।,Dhaka,Dhaka,15000,30000,2025-05-28,0,active
Marketing Officer 42,মার্কেটিং অফিসার,Star Group,স্টার গ্রুপ,part-time,We are hiring skilled candidates for this position. Apply now.,আমরা এই পদের জন্য দক্ষ প্রার্থী নিয়োগ করছি। এখনই আবেদন করুন।,Coxs Bazar,Chittagong,20000,40000,2025-06-28,0,active
Software Engineer 43,সফটওয়্যার ইঞ্জিনিয়ার,Tech Solutions,টেক সলিউশনস,freelance,We are hiring skilled candidates for this position. Apply now.,আমরা এই পদের জন্য দক্ষ প্রার্থী নিয়োগ করছি। এখনই আবেদন করুন।,Pabna,Rajshahi,25000,50000,2025-07-28,1,active
Data Entry Operator 44,ডাটা এন্ট্রি অপারেটর,ABC Corp,এবিসি কর্প,internship,We are hiring skilled candidates for this position. Apply now.,আমরা এই পদের জন্য দক্ষ প্রার্থী নিয়োগ করছি। এখনই আবেদন করুন।,Kushtia,Khulna,30000,60000,2025-08-28,0,active
Accountant 45,হিসাবরক্ষক,Green IT,গ্রিন আইটি,govt,We are hiring skilled candidates for this position. Apply now.,আমরা এই পদের জন্য দক্ষ প্রার্থী নিয়োগ করছি। এখনই আবেদন করুন।,Sylhet Sadar,Sylhet,35000,70000,2025-09-28,0,active
Sales Executive 46,সেলস এক্সিকিউটিভ,BD Softwares,বিডি সফটওয়্যারস,full-time,We are hiring skilled candidates for this position. Apply now.,আমরা এই পদের জন্য দক্ষ প্রার্থী নিয়োগ করছি। এখনই আবেদন করুন।,Barisal,Barisal,15000,30000,2025-10-28,1,active
Graphic Designer 47,গ্রাফিক ডিজাইনার,Prime Ltd,প্রাইম লিমিটেড,part-time,We are hiring skilled candidates for this position. Apply now.,আমরা এই পদের জন্য দক্ষ প্রার্থী নিয়োগ করছি। এখনই আবেদন করুন।,Dinajpur,Rangpur,20000,40000,2025-11-28,0,active
Marketing Officer 48,মার্কেটিং অফিসার,Star Group,স্টার গ্রুপ,freelance,We are hiring skilled candidates for this position. Apply now.,আমরা এই পদের জন্য দক্ষ প্রার্থী নিয়োগ করছি। এখনই আবেদন করুন।,Netrokona,Mymensingh,25000,50000,2025-12-28,0,active
Software Engineer 49,সফটওয়্যার ইঞ্জিনিয়ার,Tech Solutions,টেক সলিউশনস,internship,We are hiring skilled candidates for this position. Apply now.,আমরা এই পদের জন্য দক্ষ প্রার্থী নিয়োগ করছি। এখনই আবেদন করুন।,Tangail,Dhaka,30000,60000,2025-01-28,1,active
Data Entry Operator 50,ডাটা এন্ট্রি অপারেটর,ABC Corp,এবিসি কর্প,govt,We are hiring skilled candidates for this position. Apply now.,আমরা এই পদের জন্য দক্ষ প্রার্থী নিয়োগ করছি। এখনই আবেদন করুন।,Rangamati,Chittagong,35000,70000,2025-02-28,0,active